"StockPrice.Date","StockPrice...j."
"3/1/2011",0.5
"4/1/2011",0.49
"5/1/2011",0.5
"6/1/2011",0.5
"7/1/2011",0.65
"10/1/2011",0.68
"11/1/2011",0.67
"12/1/2011",0.66
"13/1/2011",0.66
"14/1/2011",0.68
"17/1/2011",0.83
"18/1/2011",0.76
"19/1/2011",0.76
"20/1/2011",0.8
"21/1/2011",0.85
"24/1/2011",0.84
"25/1/2011",0.84
"26/1/2011",0.85
"27/1/2011",0.82
"28/1/2011",0.7
"31/1/2011",0.69
"1/2/2011",0.67
"2/2/2011",0.71
"3/2/2011",0.71
"4/2/2011",0.71
"7/2/2011",0.7
"8/2/2011",0.7
"9/2/2011",0.67
"10/2/2011",0.69
"11/2/2011",0.67
"14/2/2011",0.65
"15/2/2011",0.61
"16/2/2011",0.61
"17/2/2011",0.62
"18/2/2011",0.61
"21/2/2011",0.59
"22/2/2011",0.56
"23/2/2011",0.56
"24/2/2011",0.54
"25/2/2011",0.52
"28/2/2011",0.51
"1/3/2011",0.56
"2/3/2011",0.56
"3/3/2011",0.56
"4/3/2011",0.59
"7/3/2011",0.54
"8/3/2011",0.56
"9/3/2011",0.56
"10/3/2011",0.56
"11/3/2011",0.57
"14/3/2011",0.57
"15/3/2011",0.54
"16/3/2011",0.55
"17/3/2011",0.52
"18/3/2011",0.51
"21/3/2011",0.51
"22/3/2011",0.55
"23/3/2011",0.53
"24/3/2011",0.56
"25/3/2011",0.54
"28/3/2011",0.55
"29/3/2011",0.56
"30/3/2011",0.55
"31/3/2011",0.56
"1/4/2011",0.54
"4/4/2011",0.54
"5/4/2011",0.54
"6/4/2011",0.54
"7/4/2011",0.6
"8/4/2011",0.58
"11/4/2011",0.57
"12/4/2011",0.57
"13/4/2011",0.55
"14/4/2011",0.57
"15/4/2011",0.57
"18/4/2011",0.57
"19/4/2011",0.55
"20/4/2011",0.55
"21/4/2011",0.55
"22/4/2011",0.55
"25/4/2011",0.55
"26/4/2011",0.54
"27/4/2011",0.53
"28/4/2011",0.58
"29/4/2011",0.57
"2/5/2011",0.57
"3/5/2011",0.54
"4/5/2011",0.51
"5/5/2011",0.52
"6/5/2011",0.52
"9/5/2011",0.52
"10/5/2011",0.52
"11/5/2011",0.52
"12/5/2011",0.52
"13/5/2011",0.52
"16/5/2011",0.52
