"StockPrice.Date","StockPrice...j."
"3/1/2011",2.45
"4/1/2011",2.43
"5/1/2011",2.38
"6/1/2011",2.4
"7/1/2011",2.39
"10/1/2011",2.38
"11/1/2011",2.59
"12/1/2011",2.54
"13/1/2011",2.52
"14/1/2011",2.52
"17/1/2011",2.66
"18/1/2011",2.7
"19/1/2011",2.72
"20/1/2011",2.67
"21/1/2011",2.66
"24/1/2011",2.59
"25/1/2011",2.67
"26/1/2011",2.62
"27/1/2011",2.62
"28/1/2011",2.68
"31/1/2011",2.65
"1/2/2011",2.67
"2/2/2011",2.73
"3/2/2011",2.73
"4/2/2011",2.73
"7/2/2011",2.76
"8/2/2011",2.74
"9/2/2011",2.76
"10/2/2011",2.95
"11/2/2011",2.76
"14/2/2011",2.77
"15/2/2011",2.83
"16/2/2011",2.93
"17/2/2011",2.88
"18/2/2011",2.89
"21/2/2011",2.85
"22/2/2011",2.73
"23/2/2011",2.76
"24/2/2011",2.65
"25/2/2011",2.72
"28/2/2011",2.7
"1/3/2011",2.84
"2/3/2011",2.79
"3/3/2011",2.8
"4/3/2011",2.89
"7/3/2011",2.82
"8/3/2011",2.87
"9/3/2011",2.89
"10/3/2011",2.87
"11/3/2011",2.79
"14/3/2011",2.81
"15/3/2011",2.71
"16/3/2011",2.73
"17/3/2011",2.62
"18/3/2011",2.63
"21/3/2011",2.75
"22/3/2011",2.62
"23/3/2011",2.46
"24/3/2011",2.51
"25/3/2011",2.49
"28/3/2011",2.5
"29/3/2011",2.53
"30/3/2011",2.5
"31/3/2011",2.47
"1/4/2011",2.47
"4/4/2011",2.49
"5/4/2011",2.49
"6/4/2011",2.45
"7/4/2011",2.54
"8/4/2011",2.45
"11/4/2011",2.5
"12/4/2011",2.44
"13/4/2011",2.46
"14/4/2011",2.46
"15/4/2011",2.46
"18/4/2011",2.47
"19/4/2011",2.44
"20/4/2011",2.44
"21/4/2011",2.44
"22/4/2011",2.44
"25/4/2011",2.44
"26/4/2011",2.42
"27/4/2011",2.38
"28/4/2011",2.45
"29/4/2011",2.45
"2/5/2011",2.45
"3/5/2011",2.39
"4/5/2011",2.35
"5/5/2011",2.34
"6/5/2011",2.3
"9/5/2011",2.32
"10/5/2011",2.32
"11/5/2011",2.32
"12/5/2011",2.29
"13/5/2011",2.26
"16/5/2011",2.2
"17/5/2011",2.16
"18/5/2011",2.2
"19/5/2011",2.22
"20/5/2011",2.2
"23/5/2011",2.17
"24/5/2011",2.22
"25/5/2011",2.23
"26/5/2011",2.27
"27/5/2011",2.29
"30/5/2011",2.5
"31/5/2011",2.54
"1/6/2011",2.44
"2/6/2011",2.38
"3/6/2011",2.43
"6/6/2011",2.43
"7/6/2011",2.4
"8/6/2011",2.44
"9/6/2011",2.42
"10/6/2011",2.39
"13/6/2011",2.42
"14/6/2011",2.44
"15/6/2011",2.45
"16/6/2011",2.41
"17/6/2011",2.35
"20/6/2011",2.35
"21/6/2011",2.41
"22/6/2011",2.44
"23/6/2011",2.4
"24/6/2011",2.39
"27/6/2011",2.38
"28/6/2011",2.4
"29/6/2011",2.4
"30/6/2011",2.4
"1/7/2011",2.4
"4/7/2011",2.43
"5/7/2011",2.54
"6/7/2011",2.47
"7/7/2011",2.51
"8/7/2011",2.53
"11/7/2011",2.49
"12/7/2011",2.44
"13/7/2011",2.46
"14/7/2011",2.45
"15/7/2011",2.48
"18/7/2011",2.47
"19/7/2011",2.49
"20/7/2011",2.5
"21/7/2011",2.64
"22/7/2011",2.65
"25/7/2011",2.67
"26/7/2011",2.72
"27/7/2011",2.78
"28/7/2011",2.8
