"","x","result","result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9","result.10","result.11","result.12","result.13","result.14","result.15","result.16","result"
"Z",0.0415752144240509,0.0421009702515645,0.0454900837953553,0.0462879414426953,0.0473561879816698,0.0491532815821729,0.0528581192467947,0.0527968075508712,0.0503862359465437,0.047532575425882,0.0455810553760648,0.0451251514938426,0.047393611577475,0.0503621711087614,0.0499801628671856,0.0465345936474065,0.0382833770128026,0.0275611039706102,0.025159599684671
"(Intercept)",0.138281714191717,0.138571863267515,0.137888987435756,0.138187565866883,0.138144754526725,0.138125718444826,0.13800330468512,0.138344388743858,0.138627403199013,0.139005305963798,0.139232497630768,0.139263459390164,0.138823594252918,0.1383337856356,0.138561255198227,0.139399769080012,0.140829367298236,0.143200732448678,0.144081512151629
"",0.00563681574156015,0.00564609359029993,0.00557399633142758,0.00558926416136617,0.00558926416136617,0.00558926416136617,0.00557564155573573,0.00560273515720475,0.00559548077059637,0.00558945873040887,0.00557375890897369,0.00557019635778627,0.00555130695746332,0.0055601462307559,0.00556948592666357,0.00565185901069856,0.00575647317630897,0.00582642601887194,0.00582173908220283
