"","x"
"X1","3.239214217"
"X2","3.241425514"
"X3","3.251763682"
"X4","3.280450700"
"X5","3.339746342"
"X6","3.341386856"
"X7","3.270392201"
"X8","3.182153509"
"X9","3.225251097"
"X10","3.288081270"
"X11","3.236998638"
"X12","3.204944423"
"X13","3.22419734"
"X14","3.249703628"
"X15","3.288713889"
"X16","3.290047393"
"X17","3.331269617"
"X18","3.288293560"
"X19","3.279045670"
"X20","3.31759874"
"X21","3.26047196"
"X22","3.243961483"
"X23","3.314687985"
"X24","3.33809522"
"X25","3.40134441"
"X26","3.391679031"
"X27","3.385458553"
"X28","3.38662530"
"X29","3.412286202"
"X30","3.424053261"
"X31","3.445706687"
"X32","3.45668224"
"X33","3.498941978"
"X34","3.513723748"
"X35","3.507318177"
"X36","3.503353924"
"X37","3.489968012"
"X38","3.490199063"
"X39","3.479144695"
"X40","3.458594042"
"X41","3.471442454"
"X42","3.433019535"
"X43","3.446067758"
"X44","3.431681337"
"X45","3.443080736"
"X46","3.435521753"
"X47","3.384353607"
"X48","3.330716402"
"X49","3.332555978"
"X50","3.389956175"
"X51","3.407780617"
"X52","3.416103638"
"X53","3.400057046"
"X54","3.401798053"
"X55","3.408877325"
"X56","3.430209362"
"X57","3.379910689"
"X58","3.349929092"
"X59","3.332178712"
"X60","3.331256754"
"X61","3.361496162"
"X62","3.353848855"
"X63","3.353396288"
"X64","3.379738863"
"X65","3.382516183"
"X66","3.406245290"
"X67","3.413764724"
"X68","3.405774363"
"X69","3.40949295"
"X70","3.396329199"
"X71","3.422136984"
"X72","3.425499924"
"X73","3.416093779"
"X74","3.419752793"
"X75","3.423728817"
"X76","3.421311558"
"X77","3.434163649"
"X78","3.430870524"
"X79","3.437477865"
"X80","3.441028553"
"X81","3.441872287"
"X82","3.450585402"
"X83","3.511848980"
"X84","3.518513323"
"X85","3.51228937"
"X86","3.473830498"
"X87","3.470177834"
"X88","3.447489187"
"X89","3.437911687"
"X90","3.438106147"
"X91","3.47445490"
"X92","3.454292184"
"X93","3.460449825"
"X94","3.458880577"
"X95","3.455910698"
"X96","3.460844547"
"X97","3.446663948"
"X98","3.45239783"
"X99","3.45343137"
"X100","3.44579635"
"X101","3.43807522"
"X102","3.43323545"
"X103","3.42502266"
"X104","3.42895363"
"X105","3.43234523"
"X106","3.42784006"
"X107","3.42376617"
"X108","3.42319511"
"X109","3.42133072"
"X110","3.42397645"
"X111","3.42049425"
"X112","3.42596405"
"X113","3.4216248"
"X114","3.41877083"
"X115","3.42157090"
"X116","3.42616353"
"X117","3.42599678"
"X118","3.42624616"
"X119","3.42197867"
"X120","3.42371098"
"X121","3.42485656"
"X122","3.41255036"
"X123","3.40314961"
"X124","3.39687660"
"X125","3.39443415"
"X126","3.40267068"
"X127","3.40843446"
"X128","3.40469489"
"X129","3.38763491"
"X130","3.41020798"
"X131","3.41636458"
"X132","3.42185954"
"X133","3.42446980"
"X134","3.41332630"
"X135","3.41918627"
"X136","3.41308818"
"X137","3.43511681"
"X138","3.43449803"
"X139","3.43175107"
"X140","3.42485830"
"X141","3.41919362"
"X142","3.43047842"
"X143","3.44700766"
"X144","3.43636133"
"X145","3.45241520"
"X146","3.44757088"
"X147","3.45103452"
"X148","3.43893669"
"X149","3.43150158"
"X150","3.44408749"
"X151","3.42243323"
"X152","3.44348318"
"X153","3.46928643"
"X154","3.45522958"
"X155","3.44991233"
"X156","3.43331635"
"X157","3.44009944"
"X158","3.44699124"
"X159","3.46147260"
"X160","3.46215177"
"X161","3.46176260"
"X162","3.45103294"
"X163","3.44151662"
"X164","3.44380088"
"X165","3.43451793"
"X166","3.44658309"
"X167","3.44491840"
"X168","3.44661985"
"X169","3.44666446"
"X170","3.44566421"
"X171","3.45309384"
"X172","3.45887568"
"X173","3.47732022"
"X174","3.47476331"
"X175","3.48604971"
"X176","3.47805379"
"X177","3.46602596"
"X178","3.46125002"
"X179","3.47782276"
"X180","3.49457643"
"X181","3.51648107"
"X182","3.51300157"
"X183","3.51480952"
"X184","3.50519530"
"X185","3.51900589"
"X186","3.52663281"
"X187","3.52057614"
"X188","3.52132514"
"X189","3.53891291"
"X190","3.52774207"
"X191","3.52855438"
"X192","3.57203182"
"X193","3.53726516"
"X194","3.51749762"
"X195","3.53283010"
"X196","3.53133071"
"X197","3.52910643"
"X198","3.52872650"
"X199","3.55163783"
"X200","3.55836321"
"X201","3.56114922"
"X202","3.56788996"
"X203","3.56144362"
"X204","3.56513229"
"X205","3.57356984"
"X206","3.57254078"
"X207","3.56839200"
"X208","3.58408317"
"X209","3.58826173"
"X210","3.60267323"
"X211","3.61082131"
"X212","3.59310006"
"X213","3.58050883"
"X214","3.60710936"
"X215","3.60891365"
"X216","3.61060937"
"X217","3.60912569"
"X218","3.60188507"
"X219","3.62046847"
"X220","3.62545542"
"X221","3.65841683"
"X222","3.64600029"
"X223","3.67049556"
"X224","3.67214429"
"X225","3.66148993"
"X226","3.66359093"
"X227","3.66697771"
"X228","3.71005222"
"X229","3.71533618"
"X230","3.71103042"
"X231","3.65812169"
"X232","3.68584703"
"X233","3.70375294"
"X234","3.69653401"
"X235","3.757387816"
"X236","3.940057123"
"X237","3.974451661"
"X238","3.755782174"
"X239","3.766052732"
