"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"Speed Of MRP",0.0885060161079591,0.0961370592590141,0.0981189543796234,0.0920221503446169,0.0689420868500715,0.0826674591269225,0.107723655508763,0.105028493113299,0.0761966212122409,0.0978680453601986,0.100450218591655,0.0915917920041588,0.095423451477341,0.127760580213646,0.113115553388591,0.112313411520699,0.138480578563823,0.149539748953975,0.142366591664708,0.150720060184135,0.128817182410423,0.131718308218868,0.154030458726481,0.16713387228839,0.182239778802707,0.160940702325761,0.141671376880933,0.166460940066957,0.143442913693052
"Long Run Mean",0.155031728544673,0.154232113096948,0.153628347262493,0.150352226720648,0.149835057424452,0.147061365367136,0.146887441189426,0.146338144329897,0.145092052542443,0.145592027415861,0.147373167850666,0.146801349900291,0.146420607342499,0.146214287789431,0.145257232612507,0.144144545081085,0.144565779619552,0.143846670397314,0.143524385209648,0.14419349535524,0.144677597787436,0.144382523055764,0.142547382159745,0.141926909623798,0.141297624532568,0.141168737902957,0.141333092485549,0.140742117898106,0.140958358061325
"Volatility",0.00882255756099146,0.00879163302359169,0.00879256367167815,0.00885337408068287,0.00853144217306245,0.00803888126065139,0.00778761773999532,0.00775339521413561,0.00739220212454625,0.0072528033234808,0.00730219377299076,0.00724554721278001,0.00724554721278001,0.00696001773511918,0.00686404671797773,0.00688020564301966,0.00686438729784883,0.00687689190800873,0.00681173738620226,0.00685365090180486,0.0066533961042059,0.0066533961042059,0.00638360700075999,0.00639033277771476,0.00639664033676241,0.00625126521384403,0.00612517965718935,0.0059809262382549,0.00581745494171042
