"","x"
"X1","0.006158359"
"X2","0.006105445"
"X3","0.005915475"
"X4","0.005697316"
"X5","0.005197121"
"X6","0.005189462"
"X7","0.005605377"
"X8","0.006086813"
"X9","0.005789137"
"X10","0.005302091"
"X11","0.005808177"
"X12","0.005796131"
"X13","0.00559649"
"X14","0.005363214"
"X15","0.005192973"
"X16","0.005182756"
"X17","0.005118897"
"X18","0.004995678"
"X19","0.004963147"
"X20","0.00488746"
"X21","0.00528773"
"X22","0.005269966"
"X23","0.005058409"
"X24","0.00507490"
"X25","0.00524853"
"X26","0.005249393"
"X27","0.005522103"
"X28","0.00552877"
"X29","0.005926185"
"X30","0.006362322"
"X31","0.006825806"
"X32","0.00677148"
"X33","0.006851226"
"X34","0.005933859"
"X35","0.005965481"
"X36","0.005433632"
"X37","0.005610679"
"X38","0.005579474"
"X39","0.005842445"
"X40","0.005816572"
"X41","0.006155805"
"X42","0.006513035"
"X43","0.006730459"
"X44","0.006832904"
"X45","0.006232593"
"X46","0.005759989"
"X47","0.005366513"
"X48","0.005343247"
"X49","0.005410709"
"X50","0.005318193"
"X51","0.005215412"
"X52","0.005300643"
"X53","0.005424781"
"X54","0.005336046"
"X55","0.005516513"
"X56","0.005486567"
"X57","0.005418051"
"X58","0.005840369"
"X59","0.005989204"
"X60","0.006046796"
"X61","0.005983649"
"X62","0.005951314"
"X63","0.006187372"
"X64","0.006128739"
"X65","0.006184657"
"X66","0.006116347"
"X67","0.006595785"
"X68","0.006855902"
"X69","0.00704695"
"X70","0.007231508"
"X71","0.007187126"
"X72","0.007460247"
"X73","0.007304554"
"X74","0.007903697"
"X75","0.007425713"
"X76","0.007560555"
"X77","0.007313579"
"X78","0.007381917"
"X79","0.007641728"
"X80","0.007595682"
"X81","0.007705245"
"X82","0.007897048"
"X83","0.007580634"
"X84","0.007292843"
"X85","0.00787834"
"X86","0.008463133"
"X87","0.008723034"
"X88","0.009957258"
"X89","0.008853983"
"X90","0.008925057"
"X91","0.00869942"
"X92","0.009083941"
"X93","0.008162279"
"X94","0.008540721"
"X95","0.008635271"
"X96","0.009145876"
"X97","0.009731683"
"X98","0.01078973"
"X99","0.01142180"
"X100","0.01177190"
"X101","0.01248515"
"X102","0.01296067"
"X103","0.01349569"
"X104","0.01407241"
"X105","0.01401287"
"X106","0.01363380"
"X107","0.01415190"
"X108","0.01452207"
"X109","0.01465859"
"X110","0.01489184"
"X111","0.01518864"
"X112","0.01541739"
"X113","0.0151457"
"X114","0.01456263"
"X115","0.01520108"
"X116","0.01482288"
"X117","0.01506333"
"X118","0.01413544"
"X119","0.01302080"
"X120","0.01390073"
"X121","0.01354417"
"X122","0.01210570"
"X123","0.01269386"
"X124","0.01303313"
"X125","0.01289709"
"X126","0.01323278"
"X127","0.01327683"
"X128","0.01353726"
"X129","0.01285493"
"X130","0.01250276"
"X131","0.01233935"
"X132","0.01228076"
"X133","0.01267190"
"X134","0.01095862"
"X135","0.01157218"
"X136","0.01140617"
"X137","0.01211753"
"X138","0.01200161"
"X139","0.01191522"
"X140","0.01188257"
"X141","0.01150516"
"X142","0.01173394"
"X143","0.01149545"
"X144","0.01060005"
"X145","0.01020902"
"X146","0.01053263"
"X147","0.01051767"
"X148","0.01077052"
"X149","0.01066200"
"X150","0.01068687"
"X151","0.01084856"
"X152","0.01095668"
"X153","0.01158215"
"X154","0.01221506"
"X155","0.01275789"
"X156","0.01276544"
"X157","0.01268474"
"X158","0.01280092"
"X159","0.01314075"
"X160","0.01324026"
"X161","0.01310795"
"X162","0.01344544"
"X163","0.01345495"
"X164","0.01353102"
"X165","0.01374095"
"X166","0.01413864"
"X167","0.01414906"
"X168","0.01386686"
"X169","0.01360166"
"X170","0.01371036"
"X171","0.01347769"
"X172","0.01453746"
"X173","0.01368004"
"X174","0.01399848"
"X175","0.01408264"
"X176","0.01418629"
"X177","0.01424190"
"X178","0.01406917"
"X179","0.01420697"
"X180","0.01347434"
"X181","0.01288652"
"X182","0.01247975"
"X183","0.01262327"
"X184","0.01292993"
"X185","0.01434467"
"X186","0.01378971"
"X187","0.01429528"
"X188","0.01426933"
"X189","0.01431141"
"X190","0.01493698"
"X191","0.01492139"
"X192","0.01414820"
"X193","0.01551877"
"X194","0.01697545"
"X195","0.01621648"
"X196","0.01538028"
"X197","0.01623377"
"X198","0.01706485"
"X199","0.01531181"
"X200","0.01356968"
"X201","0.01434186"
"X202","0.01486446"
"X203","0.01503944"
"X204","0.01502611"
"X205","0.01550708"
"X206","0.01543924"
"X207","0.01643198"
"X208","0.01448579"
"X209","0.01444141"
"X210","0.01340870"
"X211","0.01331694"
"X212","0.01369221"
"X213","0.01453063"
"X214","0.01287791"
"X215","0.01302979"
"X216","0.01306578"
"X217","0.01349051"
"X218","0.01446621"
"X219","0.01392439"
"X220","0.01370816"
"X221","0.01276309"
"X222","0.01390226"
"X223","0.01304077"
"X224","0.01310786"
"X225","0.01368923"
"X226","0.01297156"
"X227","0.01258981"
"X228","0.01121046"
"X229","0.01082117"
"X230","0.01114397"
"X231","0.01324578"
"X232","0.01229542"
"X233","0.01209276"
"X234","0.01246708"
"X235","0.009243257"
"X236","0.006152911"
"X237","0.005919174"
"X238","0.008853935"
"X239","0.008822179"
