"StockPrice.Date","StockPrice...j."
"3/1/2011",2.25
"4/1/2011",2.268
"5/1/2011",2.368
"6/1/2011",2.522
"7/1/2011",2.423
"10/1/2011",2.332
"11/1/2011",2.305
"12/1/2011",2.305
"13/1/2011",2.295
"14/1/2011",2.25
"17/1/2011",2.25
"18/1/2011",2.268
"19/1/2011",2.277
"20/1/2011",2.25
"21/1/2011",2.25
"24/1/2011",2.232
"25/1/2011",2.241
"26/1/2011",2.196
"27/1/2011",2.187
"28/1/2011",2.214
"31/1/2011",2.205
"1/2/2011",2.223
"2/2/2011",2.241
"3/2/2011",2.241
"4/2/2011",2.241
"7/2/2011",2.196
"8/2/2011",2.232
"9/2/2011",2.223
"10/2/2011",2.205
"11/2/2011",2.359
"14/2/2011",2.377
"15/2/2011",2.441
"16/2/2011",2.368
"17/2/2011",2.441
"18/2/2011",2.522
"21/2/2011",2.45
"22/2/2011",2.286
"23/2/2011",2.35
"24/2/2011",2.332
"25/2/2011",2.295
"28/2/2011",2.25
"1/3/2011",2.286
"2/3/2011",2.25
"3/3/2011",2.259
"4/3/2011",2.305
"7/3/2011",2.277
"8/3/2011",2.286
"9/3/2011",2.359
"10/3/2011",2.341
"11/3/2011",2.305
"14/3/2011",2.286
"15/3/2011",2.268
"16/3/2011",2.286
"17/3/2011",2.25
"18/3/2011",2.295
"21/3/2011",2.277
"22/3/2011",2.241
"23/3/2011",2.223
"24/3/2011",2.259
"25/3/2011",2.268
"28/3/2011",2.259
"29/3/2011",2.25
"30/3/2011",2.277
"31/3/2011",2.25
"1/4/2011",2.268
"4/4/2011",2.268
"5/4/2011",2.268
"6/4/2011",2.241
"7/4/2011",2.214
"8/4/2011",2.205
"11/4/2011",2.25
"12/4/2011",2.259
"13/4/2011",2.178
"14/4/2011",2.205
"15/4/2011",2.241
"18/4/2011",2.196
"19/4/2011",2.168
"20/4/2011",2.159
"21/4/2011",2.159
"22/4/2011",2.159
"25/4/2011",2.159
"26/4/2011",2.123
"27/4/2011",2.041
"28/4/2011",2.023
"29/4/2011",2.005
"2/5/2011",2.005
"3/5/2011",1.933
"4/5/2011",1.905
"5/5/2011",1.978
"6/5/2011",2.023
"9/5/2011",2.014
"10/5/2011",2.014
"11/5/2011",2.023
"12/5/2011",1.996
"13/5/2011",2.014
"16/5/2011",1.987
"17/5/2011",1.969
"18/5/2011",1.996
"19/5/2011",1.951
"20/5/2011",1.942
"23/5/2011",1.942
"24/5/2011",1.969
"25/5/2011",1.933
"26/5/2011",1.942
"27/5/2011",1.951
"30/5/2011",1.951
"31/5/2011",1.914
"1/6/2011",1.996
"2/6/2011",1.996
"3/6/2011",2.005
"6/6/2011",2.005
"7/6/2011",2.069
"8/6/2011",2.051
"9/6/2011",2.023
"10/6/2011",2.023
"13/6/2011",1.951
"14/6/2011",1.978
"15/6/2011",1.914
"16/6/2011",1.869
"17/6/2011",1.851
"20/6/2011",1.842
"21/6/2011",1.851
"22/6/2011",1.842
"23/6/2011",1.815
"24/6/2011",1.86
"27/6/2011",1.851
"28/6/2011",1.842
"29/6/2011",1.86
"30/6/2011",1.923
"1/7/2011",1.923
"4/7/2011",1.942
"5/7/2011",1.914
"6/7/2011",1.905
"7/7/2011",1.878
"8/7/2011",1.842
"11/7/2011",1.842
"12/7/2011",1.688
"13/7/2011",1.715
"14/7/2011",1.76
"15/7/2011",1.615
"18/7/2011",1.606
"19/7/2011",1.57
"20/7/2011",1.561
"21/7/2011",1.524
"22/7/2011",1.57
"25/7/2011",1.542
"26/7/2011",1.57
"27/7/2011",1.642
"28/7/2011",1.679
"29/7/2011",1.66
"1/8/2011",1.642
"2/8/2011",1.606
"3/8/2011",1.515
"4/8/2011",1.406
"5/8/2011",1.325
"8/8/2011",1.18
"9/8/2011",1.125
"10/8/2011",1.116
"11/8/2011",1.152
"12/8/2011",1.243
"15/8/2011",1.388
"16/8/2011",1.434
"17/8/2011",1.415
"18/8/2011",1.397
"19/8/2011",1.343
"22/8/2011",1.288
"23/8/2011",1.297
"24/8/2011",1.316
"25/8/2011",1.388
"26/8/2011",1.542
"29/8/2011",1.651
"30/8/2011",1.597
"31/8/2011",1.606
"1/9/2011",1.633
"2/9/2011",1.615
"5/9/2011",1.561
"6/9/2011",1.588
"7/9/2011",1.742
"8/9/2011",1.679
"9/9/2011",1.669
"12/9/2011",1.597
"13/9/2011",1.597
"14/9/2011",1.615
"15/9/2011",1.633
"16/9/2011",1.606
"19/9/2011",1.515
"20/9/2011",1.542
"21/9/2011",1.579
"22/9/2011",1.488
"23/9/2011",1.452
"26/9/2011",1.343
"27/9/2011",1.47
"28/9/2011",1.424
"29/9/2011",1.424
"30/9/2011",1.388
"3/10/2011",1.297
