"StockPrice.Date","StockPrice...j."
"3/1/2011",4.624
"4/1/2011",4.722
"5/1/2011",4.722
"6/1/2011",4.673
"7/1/2011",4.683
"10/1/2011",4.644
"11/1/2011",4.751
"12/1/2011",4.781
"13/1/2011",4.761
"14/1/2011",4.712
"17/1/2011",4.449
"18/1/2011",4.556
"19/1/2011",4.615
"20/1/2011",4.624
"21/1/2011",4.605
"24/1/2011",4.683
"25/1/2011",4.693
"26/1/2011",4.654
"27/1/2011",4.702
"28/1/2011",4.673
"31/1/2011",4.654
"1/2/2011",4.654
"2/2/2011",4.956
"3/2/2011",4.956
"4/2/2011",4.956
"7/2/2011",4.79
"8/2/2011",4.898
"9/2/2011",4.976
"10/2/2011",4.917
"11/2/2011",4.829
"14/2/2011",4.946
"15/2/2011",4.956
"16/2/2011",4.937
"17/2/2011",5.2
"18/2/2011",5.2
"21/2/2011",5.298
"22/2/2011",5.063
"23/2/2011",4.966
"24/2/2011",4.761
"25/2/2011",4.829
"28/2/2011",4.81
"1/3/2011",5.102
"2/3/2011",5.054
"3/3/2011",5.112
"4/3/2011",5.112
"7/3/2011",5.093
"8/3/2011",5.112
"9/3/2011",5.073
"10/3/2011",4.927
"11/3/2011",4.917
"14/3/2011",4.956
"15/3/2011",4.878
"16/3/2011",5.181
"17/3/2011",5.366
"18/3/2011",5.512
"21/3/2011",5.366
"22/3/2011",5.483
"23/3/2011",5.493
"24/3/2011",5.502
"25/3/2011",5.298
"28/3/2011",5.249
"29/3/2011",5.278
"30/3/2011",5.463
"31/3/2011",4.615
"1/4/2011",4.439
"4/4/2011",4.546
"5/4/2011",4.546
"6/4/2011",4.488
"7/4/2011",4.439
"8/4/2011",4.624
"11/4/2011",4.663
"12/4/2011",4.576
"13/4/2011",4.673
"14/4/2011",4.654
"15/4/2011",4.634
"18/4/2011",4.615
"19/4/2011",4.537
"20/4/2011",4.537
"21/4/2011",4.683
"22/4/2011",4.683
"25/4/2011",4.683
"26/4/2011",4.654
"27/4/2011",4.624
"28/4/2011",4.595
"29/4/2011",4.624
"2/5/2011",4.624
"3/5/2011",4.722
"4/5/2011",4.771
"5/5/2011",4.849
"6/5/2011",4.859
"9/5/2011",4.79
"10/5/2011",4.79
"11/5/2011",4.868
"12/5/2011",4.781
"13/5/2011",4.722
"16/5/2011",4.683
"17/5/2011",4.917
"18/5/2011",4.878
"19/5/2011",4.781
"20/5/2011",4.829
"23/5/2011",4.732
"24/5/2011",4.829
"25/5/2011",4.849
"26/5/2011",4.781
"27/5/2011",4.82
"30/5/2011",4.771
"31/5/2011",4.868
"1/6/2011",4.771
"2/6/2011",4.693
"3/6/2011",4.693
"6/6/2011",4.693
"7/6/2011",4.644
"8/6/2011",4.693
"9/6/2011",4.615
"10/6/2011",4.634
"13/6/2011",4.712
"14/6/2011",4.82
"15/6/2011",4.82
"16/6/2011",4.624
"17/6/2011",4.654
"20/6/2011",4.654
"21/6/2011",4.488
"22/6/2011",4.468
"23/6/2011",4.42
"24/6/2011",4.507
"27/6/2011",4.478
"28/6/2011",4.439
"29/6/2011",4.429
"30/6/2011",4.488
"1/7/2011",4.488
"4/7/2011",4.634
"5/7/2011",4.517
"6/7/2011",4.527
"7/7/2011",4.527
"8/7/2011",4.42
"11/7/2011",4.361
"12/7/2011",4.156
"13/7/2011",4.312
"14/7/2011",4.283
"15/7/2011",4.02
"18/7/2011",4.068
"19/7/2011",3.902
"20/7/2011",3.99
"21/7/2011",4
"22/7/2011",4.098
"25/7/2011",4.039
"26/7/2011",4.195
"27/7/2011",4.039
"28/7/2011",3.893
"29/7/2011",3.844
"1/8/2011",3.912
"2/8/2011",3.805
"3/8/2011",3.707
"4/8/2011",3.737
"5/8/2011",3.62
"8/8/2011",3.551
"9/8/2011",3.337
"10/8/2011",3.405
"11/8/2011",3.405
"12/8/2011",3.415
"15/8/2011",3.356
"16/8/2011",3.483
"17/8/2011",3.561
"18/8/2011",3.629
"19/8/2011",3.493
"22/8/2011",3.434
"23/8/2011",3.541
"24/8/2011",3.356
"25/8/2011",3.395
"26/8/2011",3.454
"29/8/2011",3.688
"30/8/2011",3.6
"31/8/2011",3.795
"1/9/2011",3.873
"2/9/2011",3.873
"5/9/2011",3.698
"6/9/2011",3.707
"7/9/2011",3.815
"8/9/2011",3.834
"9/9/2011",3.961
"12/9/2011",3.873
"13/9/2011",3.873
"14/9/2011",3.854
"15/9/2011",3.902
"16/9/2011",3.99
"19/9/2011",3.873
"20/9/2011",3.883
"21/9/2011",3.951
"22/9/2011",3.688
"23/9/2011",3.532
"26/9/2011",3.229
"27/9/2011",3.385
"28/9/2011",3.483
"29/9/2011",3.483
"30/9/2011",3.512
"3/10/2011",3.024
"4/10/2011",2.937
"5/10/2011",2.937
"6/10/2011",3.122
"7/10/2011",3.337
"10/10/2011",3.259
"11/10/2011",3.268
"12/10/2011",3.298
"13/10/2011",3.366
"14/10/2011",3.405
"17/10/2011",3.376
"18/10/2011",3.249
"19/10/2011",3.22
"20/10/2011",3.073
"21/10/2011",3.112
"24/10/2011",3.21
"25/10/2011",3.376
"26/10/2011",3.405
"27/10/2011",3.502
"28/10/2011",3.522
"31/10/2011",3.541
"1/11/2011",3.581
"2/11/2011",3.522
"3/11/2011",3.415
"4/11/2011",3.512
"7/11/2011",3.532
"8/11/2011",3.483
"9/11/2011",3.454
"10/11/2011",3.2
"11/11/2011",3.327
"14/11/2011",3.405
"15/11/2011",3.337
"16/11/2011",3.337
"17/11/2011",3.678
"18/11/2011",3.62
"21/11/2011",3.659
"22/11/2011",3.707
"23/11/2011",3.61
"24/11/2011",3.6
"25/11/2011",3.512
"28/11/2011",3.581
"29/11/2011",3.6
"30/11/2011",3.532
"1/12/2011",3.639
"2/12/2011",3.59
"5/12/2011",3.698
"6/12/2011",3.61
"7/12/2011",3.59
"8/12/2011",3.668
"9/12/2011",3.59
"12/12/2011",3.678
"13/12/2011",3.581
"14/12/2011",3.571
"15/12/2011",3.385
"16/12/2011",3.376
"19/12/2011",3.327
"20/12/2011",3.307
"21/12/2011",3.327
"22/12/2011",3.317
"23/12/2011",3.366
"26/12/2011",3.366
"27/12/2011",3.366
"28/12/2011",3.395
"29/12/2011",3.415
"30/12/2011",3.415
"2/1/2012",3.415
"3/1/2012",3.463
"4/1/2012",3.756
"5/1/2012",3.581
"6/1/2012",3.441
"9/1/2012",3.521
"10/1/2012",3.501
"11/1/2012",3.491
"12/1/2012",3.501
"13/1/2012",3.471
"16/1/2012",3.361
"17/1/2012",3.401
"18/1/2012",3.301
"19/1/2012",3.351
"20/1/2012",3.391
"23/1/2012",3.391
"24/1/2012",3.391
"25/1/2012",3.391
"26/1/2012",3.391
"27/1/2012",3.491
"30/1/2012",3.401
"31/1/2012",3.451
"1/2/2012",3.361
"2/2/2012",3.481
"3/2/2012",3.551
"6/2/2012",3.64
"7/2/2012",3.76
"8/2/2012",3.83
"9/2/2012",3.83
"10/2/2012",3.9
"13/2/2012",3.92
"14/2/2012",3.91
"15/2/2012",3.83
"16/2/2012",3.85
"17/2/2012",3.9
"20/2/2012",3.89
"21/2/2012",3.88
"22/2/2012",4.049
"23/2/2012",3.91
"24/2/2012",3.94
"27/2/2012",3.969
"28/2/2012",3.969
"29/2/2012",3.979
"1/3/2012",3.969
"2/3/2012",4.029
"5/3/2012",4.099
"6/3/2012",3.91
"7/3/2012",3.77
"8/3/2012",3.84
"9/3/2012",3.969
"12/3/2012",3.959
"13/3/2012",3.989
"14/3/2012",3.94
"15/3/2012",3.93
"16/3/2012",3.9
"19/3/2012",3.83
"20/3/2012",3.84
"21/3/2012",3.66
"22/3/2012",3.59
"23/3/2012",3.551
"26/3/2012",3.69
"27/3/2012",3.72
"28/3/2012",3.66
"29/3/2012",3.581
"30/3/2012",3.74
"2/4/2012",3.77
"3/4/2012",3.82
"4/4/2012",3.82
"5/4/2012",3.88
"6/4/2012",3.88
"9/4/2012",3.88
"10/4/2012",3.92
"11/4/2012",3.88
"12/4/2012",3.979
"13/4/2012",3.959
"16/4/2012",3.93
"17/4/2012",3.88
"18/4/2012",3.9
"19/4/2012",4.029
"20/4/2012",4.199
"23/4/2012",4.159
"24/4/2012",4.109
"25/4/2012",3.999
"26/4/2012",4.039
"27/4/2012",4.009
"30/4/2012",3.979
"1/5/2012",3.979
"2/5/2012",4.029
"3/5/2012",4.059
"4/5/2012",4.049
"7/5/2012",3.999
"8/5/2012",4.029
"9/5/2012",3.93
"10/5/2012",3.95
"11/5/2012",3.94
"14/5/2012",3.86
"15/5/2012",3.89
"16/5/2012",3.67
"17/5/2012",3.79
"18/5/2012",3.7
"21/5/2012",3.74
"22/5/2012",3.79
"23/5/2012",3.61
"24/5/2012",3.73
"25/5/2012",3.71
"28/5/2012",3.7
"29/5/2012",3.74
"30/5/2012",3.76
"31/5/2012",3.86
"1/6/2012",3.81
"4/6/2012",3.69
"5/6/2012",3.77
"6/6/2012",3.72
"7/6/2012",3.76
"8/6/2012",3.87
