"StockPrice.Date","StockPrice...j."
"3/1/2011",11.22
"4/1/2011",11.26
"5/1/2011",11.24
"6/1/2011",11.12
"7/1/2011",11.16
"10/1/2011",11.04
"11/1/2011",11.02
"12/1/2011",11.22
"13/1/2011",11.5
"14/1/2011",11.56
"17/1/2011",11.66
"18/1/2011",11.56
"19/1/2011",11.94
"20/1/2011",12.06
"21/1/2011",12.34
"24/1/2011",12.26
"25/1/2011",12.22
"26/1/2011",12.5
"27/1/2011",12.86
"28/1/2011",13
"31/1/2011",12.88
"1/2/2011",12.96
"2/2/2011",12.96
"3/2/2011",12.96
"4/2/2011",12.96
"7/2/2011",12.68
"8/2/2011",13.28
"9/2/2011",13.3
"10/2/2011",13.22
"11/2/2011",13.48
"14/2/2011",13.5
"15/2/2011",13.08
"16/2/2011",12.96
"17/2/2011",13.12
"18/2/2011",13.46
"21/2/2011",13.42
"22/2/2011",12.78
"23/2/2011",12.56
"24/2/2011",12.4
"25/2/2011",12.8
"28/2/2011",13
"1/3/2011",13.4
"2/3/2011",13.08
"3/3/2011",12.9
"4/3/2011",13.24
"7/3/2011",13.1
"8/3/2011",13.36
"9/3/2011",13.54
"10/3/2011",13.38
"11/3/2011",13.14
"14/3/2011",13.24
"15/3/2011",13.08
"16/3/2011",12.9
"17/3/2011",12.56
"18/3/2011",12.34
"21/3/2011",12.58
"22/3/2011",13.06
"23/3/2011",12.88
"24/3/2011",13.22
"25/3/2011",13.2
"28/3/2011",13.08
"29/3/2011",13.1
"30/3/2011",12.64
"31/3/2011",12.92
"1/4/2011",13.36
"4/4/2011",13.6
"5/4/2011",13.6
"6/4/2011",13.6
"7/4/2011",13.54
"8/4/2011",14.42
"11/4/2011",14.72
"12/4/2011",14.6
"13/4/2011",14.76
"14/4/2011",14.78
"15/4/2011",15
"18/4/2011",15.1
"19/4/2011",14.46
"20/4/2011",15.32
"21/4/2011",16.12
"22/4/2011",16.12
"25/4/2011",16.12
"26/4/2011",15.76
"27/4/2011",15.36
"28/4/2011",15.72
"29/4/2011",15.8
"2/5/2011",15.8
"3/5/2011",15.88
"4/5/2011",15.38
"5/5/2011",15.52
"6/5/2011",15.56
"9/5/2011",15.56
"10/5/2011",15.56
"11/5/2011",15.7
"12/5/2011",15.52
"13/5/2011",15.64
"16/5/2011",15.14
"17/5/2011",15.2
"18/5/2011",15.2
"19/5/2011",15.88
"20/5/2011",16.62
"23/5/2011",16.26
"24/5/2011",16.02
"25/5/2011",16.06
"26/5/2011",16.34
"27/5/2011",16.8
"30/5/2011",17.28
"31/5/2011",17.26
"1/6/2011",17.24
"2/6/2011",16.8
"3/6/2011",16.7
"6/6/2011",16.7
"7/6/2011",16.82
"8/6/2011",16.6
"9/6/2011",16.3
"10/6/2011",15.96
"13/6/2011",16.32
"14/6/2011",16.38
"15/6/2011",16.62
"16/6/2011",15.68
"17/6/2011",14.8
"20/6/2011",14.98
"21/6/2011",15.3
"22/6/2011",15.4
"23/6/2011",15.42
"24/6/2011",15.1
"27/6/2011",15.08
"28/6/2011",15.48
"29/6/2011",15.74
"30/6/2011",15.68
"1/7/2011",15.68
"4/7/2011",16.28
"5/7/2011",16.1
"6/7/2011",15.96
"7/7/2011",15.88
"8/7/2011",15.92
"11/7/2011",15.76
"12/7/2011",15.04
"13/7/2011",15.06
"14/7/2011",15.14
"15/7/2011",15.44
"18/7/2011",15.2
"19/7/2011",15.06
"20/7/2011",15.06
"21/7/2011",14.94
"22/7/2011",15.08
"25/7/2011",15
"26/7/2011",15.24
"27/7/2011",15.52
"28/7/2011",15.68
"29/7/2011",15.52
"1/8/2011",15.72
"2/8/2011",15.62
"3/8/2011",15.3
"4/8/2011",15.4
"5/8/2011",14.78
"8/8/2011",14.28
"9/8/2011",13.48
"10/8/2011",13.94
"11/8/2011",14
"12/8/2011",13.82
"15/8/2011",14.56
"16/8/2011",14.48
"17/8/2011",14.6
"18/8/2011",14.54
"19/8/2011",14.04
"22/8/2011",13.38
"23/8/2011",13.64
"24/8/2011",13.7
"25/8/2011",15.38
"26/8/2011",15.18
"29/8/2011",15.44
"30/8/2011",16.12
"31/8/2011",16.5
"1/9/2011",16.28
"2/9/2011",16.48
"5/9/2011",16
"6/9/2011",16.36
"7/9/2011",16.72
"8/9/2011",16.76
"9/9/2011",17.06
"12/9/2011",16.5
"13/9/2011",16.5
"14/9/2011",16.8
"15/9/2011",17.26
"16/9/2011",16.86
"19/9/2011",16.74
"20/9/2011",17.4
