"StockPrice.Date","StockPrice...j."
"3/1/2011",5.49
"4/1/2011",5.47
"5/1/2011",5.38
"6/1/2011",5.37
"7/1/2011",5.4
"10/1/2011",5.36
"11/1/2011",5.36
"12/1/2011",5.38
"13/1/2011",5.26
"14/1/2011",5.19
"17/1/2011",5.1
"18/1/2011",4.79
"19/1/2011",4.86
"20/1/2011",4.92
"21/1/2011",4.68
"24/1/2011",4.38
"25/1/2011",4.64
"26/1/2011",4.62
"27/1/2011",4.8
"28/1/2011",4.75
"31/1/2011",4.73
"1/2/2011",4.88
"2/2/2011",4.85
"3/2/2011",4.85
"4/2/2011",4.85
"7/2/2011",5.1
"8/2/2011",5.07
"9/2/2011",4.87
"10/2/2011",4.82
"11/2/2011",4.89
"14/2/2011",5
"15/2/2011",5.23
"16/2/2011",5.53
"17/2/2011",5.71
"18/2/2011",5.88
"21/2/2011",5.89
"22/2/2011",5.41
"23/2/2011",5.54
"24/2/2011",5.22
"25/2/2011",5.57
"28/2/2011",5.82
"1/3/2011",5.64
"2/3/2011",5.36
"3/3/2011",5.63
"4/3/2011",5.71
"7/3/2011",5.94
"8/3/2011",5.92
"9/3/2011",5.67
"10/3/2011",5.56
"11/3/2011",5.81
"14/3/2011",5.82
"15/3/2011",5.56
"16/3/2011",5.65
"17/3/2011",5.39
"18/3/2011",5.48
"21/3/2011",5.46
"22/3/2011",5.49
"23/3/2011",5.46
"24/3/2011",5.39
"25/3/2011",5.13
"28/3/2011",5.28
"29/3/2011",5.21
"30/3/2011",5.11
"31/3/2011",5.14
"1/4/2011",5.1
"4/4/2011",5.2
"5/4/2011",5.2
"6/4/2011",5.35
"7/4/2011",5.31
"8/4/2011",5.21
"11/4/2011",5.23
"12/4/2011",5.15
"13/4/2011",5.12
"14/4/2011",5.1
"15/4/2011",5.07
"18/4/2011",5
"19/4/2011",4.82
"20/4/2011",4.97
"21/4/2011",4.87
"22/4/2011",4.87
"25/4/2011",4.87
"26/4/2011",4.75
"27/4/2011",4.55
"28/4/2011",4.45
"29/4/2011",4.39
"2/5/2011",4.39
"3/5/2011",4.56
"4/5/2011",4.38
"5/5/2011",4.16
"6/5/2011",4.24
"9/5/2011",4.2
"10/5/2011",4.2
"11/5/2011",4.09
"12/5/2011",3.99
"13/5/2011",3.83
"16/5/2011",3.69
"17/5/2011",3.98
"18/5/2011",3.91
"19/5/2011",3.63
"20/5/2011",3.42
"23/5/2011",3.29
"24/5/2011",3.25
"25/5/2011",3.3
"26/5/2011",3.37
"27/5/2011",3.47
"30/5/2011",3.74
"31/5/2011",3.79
"1/6/2011",3.63
"2/6/2011",3.55
"3/6/2011",3.67
"6/6/2011",3.67
"7/6/2011",3.62
