"StockPrice.Date","StockPrice...j."
"3/1/2011",2.03
"4/1/2011",2.05
"5/1/2011",2.07
"6/1/2011",2.06
"7/1/2011",2.06
"10/1/2011",2.12
"11/1/2011",2.18
"12/1/2011",2.13
"13/1/2011",2.08
"14/1/2011",2.08
"17/1/2011",2.13
"18/1/2011",2.11
"19/1/2011",2.12
"20/1/2011",2.09
"21/1/2011",2.14
"24/1/2011",2.19
"25/1/2011",2.09
"26/1/2011",2.12
"27/1/2011",2.13
"28/1/2011",2.14
"31/1/2011",2.14
"1/2/2011",2.18
"2/2/2011",2.18
"3/2/2011",2.18
"4/2/2011",2.18
"7/2/2011",2.21
"8/2/2011",2.2
"9/2/2011",2.17
"10/2/2011",2.14
"11/2/2011",2.16
"14/2/2011",2.14
"15/2/2011",2.14
"16/2/2011",2.12
"17/2/2011",2.1
"18/2/2011",2.06
"21/2/2011",2.15
"22/2/2011",2.17
"23/2/2011",2.16
"24/2/2011",2.1
"25/2/2011",2.1
"28/2/2011",2.15
"1/3/2011",2.1
"2/3/2011",2.14
"3/3/2011",2.14
"4/3/2011",2.1
"7/3/2011",2.1
"8/3/2011",2.1
"9/3/2011",2.1
"10/3/2011",2.1
"11/3/2011",2.11
"14/3/2011",2.1
"15/3/2011",2.1
"16/3/2011",2.19
"17/3/2011",2.1
"18/3/2011",2.12
"21/3/2011",2.12
"22/3/2011",2.12
"23/3/2011",2.12
"24/3/2011",2.12
"25/3/2011",2.12
"28/3/2011",2.14
"29/3/2011",2.14
"30/3/2011",2.14
"31/3/2011",2.14
"1/4/2011",2.14
"4/4/2011",2.08
"5/4/2011",2.08
"6/4/2011",2.08
"7/4/2011",2.1
"8/4/2011",2.2
"11/4/2011",2.2
"12/4/2011",2.1
"13/4/2011",2.1
"14/4/2011",2.09
"15/4/2011",2.09
"18/4/2011",2.08
"19/4/2011",2.19
"20/4/2011",2.12
"21/4/2011",2.15
"22/4/2011",2.15
"25/4/2011",2.15
"26/4/2011",2.15
"27/4/2011",2.08
"28/4/2011",1.99
"29/4/2011",2.09
"2/5/2011",2.09
"3/5/2011",2.07
"4/5/2011",2.15
"5/5/2011",2.13
"6/5/2011",2.13
"9/5/2011",2.13
"10/5/2011",2.13
"11/5/2011",2.08
"12/5/2011",2.08
"13/5/2011",2
"16/5/2011",2
"17/5/2011",1.99
"18/5/2011",1.99
"19/5/2011",2.09
"20/5/2011",2.05
"23/5/2011",2.08
"24/5/2011",2.07
"25/5/2011",2.08
"26/5/2011",2.05
"27/5/2011",2.05
"30/5/2011",2.05
"31/5/2011",2.05
"1/6/2011",2.09
"2/6/2011",2.06
"3/6/2011",2.06
"6/6/2011",2.06
"7/6/2011",2.05
"8/6/2011",1.98
"9/6/2011",1.98
"10/6/2011",2.06
"13/6/2011",2.04
"14/6/2011",2.02
"15/6/2011",2.02
"16/6/2011",2.02
"17/6/2011",2.03
"20/6/2011",2.03
"21/6/2011",1.97
