"StockPrice.Date","StockPrice...j."
"3/1/2011",77.7
"4/1/2011",77.75
"5/1/2011",77.3
"6/1/2011",77.45
"7/1/2011",77
"10/1/2011",76.45
"11/1/2011",76.9
"12/1/2011",78.3
"13/1/2011",78.1
"14/1/2011",77.85
"17/1/2011",77.6
"18/1/2011",76.85
"19/1/2011",78.85
"20/1/2011",77.3
"21/1/2011",77.45
"24/1/2011",77.05
"25/1/2011",76.9
"26/1/2011",76.3
"27/1/2011",77
"28/1/2011",77.25
"31/1/2011",76.6
"1/2/2011",77.2
"2/2/2011",77.45
"3/2/2011",77.45
"4/2/2011",77.45
"7/2/2011",76.3
"8/2/2011",76.2
"9/2/2011",74.85
"10/2/2011",73.5
"11/2/2011",73.05
"14/2/2011",74.05
"15/2/2011",73.45
"16/2/2011",74.1
"17/2/2011",73.45
"18/2/2011",73.9
"21/2/2011",73.8
"22/2/2011",72.5
"23/2/2011",72.75
"24/2/2011",71.9
"25/2/2011",72.9
"28/2/2011",73.05
"1/3/2011",74.75
"2/3/2011",73.75
"3/3/2011",73.7
"4/3/2011",74.6
"7/3/2011",74.4
"8/3/2011",75.4
"9/3/2011",75.45
"10/3/2011",74.85
"11/3/2011",74.55
"14/3/2011",74.3
"15/3/2011",72.25
"16/3/2011",71.05
"17/3/2011",69.2
"18/3/2011",69.85
"21/3/2011",70.9
"22/3/2011",71
"23/3/2011",70.15
"24/3/2011",70.1
"25/3/2011",70.5
"28/3/2011",71
"29/3/2011",71.6
"30/3/2011",71.85
"31/3/2011",71.65
"1/4/2011",72.75
"4/4/2011",73.65
"5/4/2011",73.65
"6/4/2011",73.95
"7/4/2011",73.85
"8/4/2011",73.7
"11/4/2011",73.4
"12/4/2011",73
"13/4/2011",73.5
"14/4/2011",73
"15/4/2011",72.75
"18/4/2011",72.4
"19/4/2011",72.05
"20/4/2011",72.6
"21/4/2011",71.95
"22/4/2011",71.95
"25/4/2011",71.95
"26/4/2011",72
"27/4/2011",71.55
"28/4/2011",71.4
"29/4/2011",71.4
"2/5/2011",71.4
"3/5/2011",71.25
"4/5/2011",71.1
"5/5/2011",71.35
"6/5/2011",71.6
"9/5/2011",71.6
"10/5/2011",71.6
"11/5/2011",72.25
"12/5/2011",72.25
"13/5/2011",70.85
"16/5/2011",69.8
"17/5/2011",69.65
"18/5/2011",69.2
"19/5/2011",69
"20/5/2011",69.25
"23/5/2011",68.15
"24/5/2011",69.3
"25/5/2011",69.7
"26/5/2011",69.8
"27/5/2011",70.05
"30/5/2011",69.9
"31/5/2011",71.05
"1/6/2011",71.5
"2/6/2011",70.85
"3/6/2011",70.1
"6/6/2011",70.1
"7/6/2011",70.2
"8/6/2011",70.1
"9/6/2011",70
"10/6/2011",69.85
"13/6/2011",70.45
"14/6/2011",70
"15/6/2011",70.25
"16/6/2011",69.8
"17/6/2011",69.1
"20/6/2011",69.3
"21/6/2011",69.65
"22/6/2011",69.85
"23/6/2011",69.85
"24/6/2011",73.2
"27/6/2011",71.95
"28/6/2011",71.85
"29/6/2011",71.55
"30/6/2011",72
"1/7/2011",72
"4/7/2011",72.8
"5/7/2011",72.7
"6/7/2011",72.35
"7/7/2011",72.55
"8/7/2011",73.8
"11/7/2011",72.95
"12/7/2011",71.5
"13/7/2011",72.4
"14/7/2011",72.15
"15/7/2011",71.85
"18/7/2011",71.4
"19/7/2011",72.35
"20/7/2011",74.55
"21/7/2011",76.05
"22/7/2011",77.6
"25/7/2011",76.75
"26/7/2011",78.1
"27/7/2011",77.8
"28/7/2011",77.75
"29/7/2011",77.55
"1/8/2011",77.45
"2/8/2011",76.75
"3/8/2011",75.2
"4/8/2011",76.9
"5/8/2011",74.1
"8/8/2011",72.9
"9/8/2011",69.2
"10/8/2011",72.6
"11/8/2011",74
"12/8/2011",73.95
"15/8/2011",74.75
"16/8/2011",74.7
"17/8/2011",75.6
"18/8/2011",75.15
"19/8/2011",75.8
"22/8/2011",78
"23/8/2011",78.6
"24/8/2011",77.65
"25/8/2011",78.65
"26/8/2011",77.8
"29/8/2011",77.95
"30/8/2011",78.6
"31/8/2011",79
"1/9/2011",79.95
"2/9/2011",78.5
"5/9/2011",77.95
"6/9/2011",80
"7/9/2011",80.9
"8/9/2011",80
"9/9/2011",79.45
"12/9/2011",77.85
"13/9/2011",77.85
"14/9/2011",79.9
"15/9/2011",79.95
"16/9/2011",79.25
"19/9/2011",79.15
"20/9/2011",80.15
"21/9/2011",79.8
"22/9/2011",77.6
"23/9/2011",75.45
"26/9/2011",75.6
"27/9/2011",77.65
"28/9/2011",77
"29/9/2011",77
"30/9/2011",77.1
"3/10/2011",75.2
"4/10/2011",73.9
"5/10/2011",73.9
"6/10/2011",76.3
"7/10/2011",73.7
"10/10/2011",73.2
"11/10/2011",73.4
"12/10/2011",73.05
"13/10/2011",73.4
"14/10/2011",75.4
"17/10/2011",76.05
"18/10/2011",75.15
"19/10/2011",76.2
"20/10/2011",75.25
"21/10/2011",74.55
"24/10/2011",76.3
"25/10/2011",76.1
"26/10/2011",76.3
"27/10/2011",76.1
"28/10/2011",74.65
"31/10/2011",74.65
"1/11/2011",75.1
"2/11/2011",76.45
"3/11/2011",74.65
"4/11/2011",75.25
"7/11/2011",74.55
"8/11/2011",75.35
"9/11/2011",76
"10/11/2011",74.65
"11/11/2011",75.75
"14/11/2011",76.55
"15/11/2011",76.5
"16/11/2011",76.5
"17/11/2011",76.6
"18/11/2011",75.85
"21/11/2011",76.35
"22/11/2011",76
"23/11/2011",74.9
"24/11/2011",74.8
"25/11/2011",74
"28/11/2011",74.7
"29/11/2011",74.65
"30/11/2011",74.3
"1/12/2011",76.05
"2/12/2011",75.95
"5/12/2011",75.9
"6/12/2011",74.45
"7/12/2011",75.9
"8/12/2011",75.55
"9/12/2011",74.8
"12/12/2011",75.35
"13/12/2011",74.7
"14/12/2011",75.05
"15/12/2011",73.35
"16/12/2011",73.6
"19/12/2011",73.25
"20/12/2011",72.6
"21/12/2011",73.8
"22/12/2011",73.6
"23/12/2011",74.3
"26/12/2011",74.3
"27/12/2011",74.3
"28/12/2011",74.55
"29/12/2011",75
"30/12/2011",75.9
"2/1/2012",75.9
"3/1/2012",77.1
"4/1/2012",75.7
"5/1/2012",76.75
"6/1/2012",75.6
"9/1/2012",77
"10/1/2012",77
"11/1/2012",77.25
"12/1/2012",76.75
"13/1/2012",76.15
"16/1/2012",75.05
"17/1/2012",76
"18/1/2012",75.4
"19/1/2012",76.2
"20/1/2012",76.7
"23/1/2012",76.7
"24/1/2012",76.7
"25/1/2012",76.7
"26/1/2012",77.55
"27/1/2012",79
"30/1/2012",77.5
"31/1/2012",79.3
"1/2/2012",79.7
"2/2/2012",79.85
"3/2/2012",79
"6/2/2012",77.65
"7/2/2012",77.95
"8/2/2012",78.9
"9/2/2012",78
"10/2/2012",78.75
"13/2/2012",79.8
"14/2/2012",79.8
"15/2/2012",81.25
"16/2/2012",81.45
"17/2/2012",81.75
"20/2/2012",80.65
"21/2/2012",81.45
"22/2/2012",81.65
"23/2/2012",81.2
"24/2/2012",81.45
"27/2/2012",81.2
"28/2/2012",82
"29/2/2012",82.85
"1/3/2012",81.4
"2/3/2012",81.7
"5/3/2012",80.9
"6/3/2012",80.7
"7/3/2012",79.7
"8/3/2012",80.95
"9/3/2012",84.2
"12/3/2012",87.45
"13/3/2012",86.55
"14/3/2012",84.2
"15/3/2012",84.65
"16/3/2012",83.75
"19/3/2012",81.65
"20/3/2012",81.3
"21/3/2012",83.15
"22/3/2012",83.4
"23/3/2012",83.2
"26/3/2012",83.35
"27/3/2012",84.65
"28/3/2012",84.25
"29/3/2012",84.15
"30/3/2012",85.45
"2/4/2012",84.55
"3/4/2012",84.5
"4/4/2012",84.5
"5/4/2012",83.65
"6/4/2012",83.65
"9/4/2012",83.65
"10/4/2012",83.6
"11/4/2012",83.35
"12/4/2012",84.05
"13/4/2012",84.75
"16/4/2012",85.55
"17/4/2012",85.45
"18/4/2012",85.85
"19/4/2012",86.15
"20/4/2012",87.45
"23/4/2012",84.8
"24/4/2012",85.3
"25/4/2012",84.85
"26/4/2012",84.65
"27/4/2012",83.85
"30/4/2012",85.95
"1/5/2012",85.95
"2/5/2012",87.4
"3/5/2012",89.05
"4/5/2012",88.85
"7/5/2012",88.2
"8/5/2012",87.35
"9/5/2012",88.55
"10/5/2012",88.6
"11/5/2012",86.9
"14/5/2012",86.85
"15/5/2012",87.65
"16/5/2012",84.45
"17/5/2012",84.25
"18/5/2012",83.1
"21/5/2012",82.15
"22/5/2012",82.55
"23/5/2012",81.9
"24/5/2012",80
"25/5/2012",79.55
"28/5/2012",79.65
"29/5/2012",80.85
"30/5/2012",79.15
"31/5/2012",78.5
"1/6/2012",77.9
"4/6/2012",76.75
"5/6/2012",76.7
"6/6/2012",78.95
"7/6/2012",78.55
"8/6/2012",77.75
"11/6/2012",79.25
"12/6/2012",79.4
"13/6/2012",79.7
"14/6/2012",78.5
"15/6/2012",80
"18/6/2012",81.5
