"StockPrice.Date","StockPrice...j."
"3/1/2011",1.41
"4/1/2011",1.43
"5/1/2011",1.46
"6/1/2011",1.61
"7/1/2011",1.52
"10/1/2011",1.5
"11/1/2011",1.51
"12/1/2011",1.57
"13/1/2011",1.55
"14/1/2011",1.53
"17/1/2011",1.52
"18/1/2011",1.49
"19/1/2011",1.53
"20/1/2011",1.51
"21/1/2011",1.49
"24/1/2011",1.5
"25/1/2011",1.52
"26/1/2011",1.5
"27/1/2011",1.51
"28/1/2011",1.49
"31/1/2011",1.5
"1/2/2011",1.48
"2/2/2011",1.5
"3/2/2011",1.5
"4/2/2011",1.5
"7/2/2011",1.48
"8/2/2011",1.5
"9/2/2011",1.48
"10/2/2011",1.43
"11/2/2011",1.45
"14/2/2011",1.46
"15/2/2011",1.45
"16/2/2011",1.46
"17/2/2011",1.74
"18/2/2011",1.6
"21/2/2011",1.59
"22/2/2011",1.55
"23/2/2011",1.55
"24/2/2011",1.51
"25/2/2011",1.53
"28/2/2011",1.52
"1/3/2011",1.51
"2/3/2011",1.52
"3/3/2011",1.5
"4/3/2011",1.56
"7/3/2011",1.55
"8/3/2011",1.59
"9/3/2011",1.55
"10/3/2011",1.55
"11/3/2011",1.49
"14/3/2011",1.5
"15/3/2011",1.45
"16/3/2011",1.45
"17/3/2011",1.46
"18/3/2011",1.49
"21/3/2011",1.49
"22/3/2011",1.52
"23/3/2011",1.53
"24/3/2011",1.54
"25/3/2011",1.54
"28/3/2011",1.5
"29/3/2011",1.51
"30/3/2011",1.5
"31/3/2011",1.48
"1/4/2011",1.51
"4/4/2011",1.52
"5/4/2011",1.52
"6/4/2011",1.5
"7/4/2011",1.49
"8/4/2011",1.58
"11/4/2011",1.6
"12/4/2011",1.57
"13/4/2011",1.57
"14/4/2011",1.59
"15/4/2011",1.62
"18/4/2011",1.6
"19/4/2011",1.58
"20/4/2011",1.59
"21/4/2011",1.58
"22/4/2011",1.58
"25/4/2011",1.58
"26/4/2011",1.55
"27/4/2011",1.58
"28/4/2011",1.56
"29/4/2011",1.56
"2/5/2011",1.56
"3/5/2011",1.56
"4/5/2011",1.53
"5/5/2011",1.49
"6/5/2011",1.53
"9/5/2011",1.5
"10/5/2011",1.5
"11/5/2011",1.53
"12/5/2011",1.53
"13/5/2011",1.5
"16/5/2011",1.5
"17/5/2011",1.49
"18/5/2011",1.63
"19/5/2011",1.52
"20/5/2011",1.5
"23/5/2011",1.47
"24/5/2011",1.46
"25/5/2011",1.46
"26/5/2011",1.46
"27/5/2011",1.46
"30/5/2011",1.47
"31/5/2011",1.47
"1/6/2011",1.46
"2/6/2011",1.43
"3/6/2011",1.43
"6/6/2011",1.43
"7/6/2011",1.43
"8/6/2011",1.42
"9/6/2011",1.35
"10/6/2011",1.37
"13/6/2011",1.36
"14/6/2011",1.34
"15/6/2011",1.35
"16/6/2011",1.28
"17/6/2011",1.29
"20/6/2011",1.23
"21/6/2011",1.26
"22/6/2011",1.27
"23/6/2011",1.25
"24/6/2011",1.32
"27/6/2011",1.31
"28/6/2011",1.3
"29/6/2011",1.32
"30/6/2011",1.31
"1/7/2011",1.31
"4/7/2011",1.37
"5/7/2011",1.34
"6/7/2011",1.34
"7/7/2011",1.33
"8/7/2011",1.35
"11/7/2011",1.3
"12/7/2011",1.21
"13/7/2011",1.23
"14/7/2011",1.28
"15/7/2011",1.25
"18/7/2011",1.22
"19/7/2011",1.21
"20/7/2011",1.21
"21/7/2011",1.21
"22/7/2011",1.24
"25/7/2011",1.23
"26/7/2011",1.23
"27/7/2011",1.22
"28/7/2011",1.2
"29/7/2011",1.18
"1/8/2011",1.24
"2/8/2011",1.19
"3/8/2011",1.19
"4/8/2011",1.18
"5/8/2011",1.13
"8/8/2011",1.04
"9/8/2011",0.98
"10/8/2011",0.98
"11/8/2011",0.96
"12/8/2011",0.96
"15/8/2011",0.98
"16/8/2011",1
"17/8/2011",1.01
"18/8/2011",0.99
"19/8/2011",0.96
"22/8/2011",0.93
"23/8/2011",0.94
"24/8/2011",0.93
"25/8/2011",0.95
"26/8/2011",0.94
"29/8/2011",0.91
"30/8/2011",0.93
"31/8/2011",0.98
"1/9/2011",0.96
"2/9/2011",0.93
"5/9/2011",0.93
"6/9/2011",0.92
"7/9/2011",0.9
"8/9/2011",0.92
"9/9/2011",0.9
"12/9/2011",0.9
"13/9/2011",0.9
"14/9/2011",0.86
"15/9/2011",0.86
"16/9/2011",0.83
"19/9/2011",0.8
"20/9/2011",0.8
"21/9/2011",0.81
"22/9/2011",0.72
"23/9/2011",0.75
"26/9/2011",0.75
"27/9/2011",0.75
"28/9/2011",0.78
"29/9/2011",0.78
"30/9/2011",0.72
"3/10/2011",0.72
"4/10/2011",0.72
"5/10/2011",0.72
"6/10/2011",0.71
"7/10/2011",0.72
"10/10/2011",0.71
"11/10/2011",0.73
"12/10/2011",0.76
"13/10/2011",0.8
"14/10/2011",0.79
"17/10/2011",0.8
"18/10/2011",0.77
"19/10/2011",0.78
"20/10/2011",0.75
"21/10/2011",0.78
"24/10/2011",0.8
"25/10/2011",0.77
"26/10/2011",0.78
"27/10/2011",0.81
"28/10/2011",0.8
"31/10/2011",0.81
"1/11/2011",0.8
"2/11/2011",0.8
"3/11/2011",0.77
"4/11/2011",0.83
"7/11/2011",0.81
"8/11/2011",0.84
"9/11/2011",0.87
"10/11/2011",0.83
"11/11/2011",0.83
"14/11/2011",0.85
"15/11/2011",0.82
"16/11/2011",0.81
"17/11/2011",0.8
"18/11/2011",0.79
"21/11/2011",0.76
"22/11/2011",0.8
"23/11/2011",0.81
"24/11/2011",0.79
"25/11/2011",0.79
"28/11/2011",0.8
"29/11/2011",0.81
"30/11/2011",0.79
"1/12/2011",0.81
"2/12/2011",0.76
"5/12/2011",0.78
"6/12/2011",0.75
"7/12/2011",0.75
"8/12/2011",0.75
"9/12/2011",0.73
"12/12/2011",0.76
"13/12/2011",0.76
"14/12/2011",0.73
"15/12/2011",0.72
"16/12/2011",0.74
"19/12/2011",0.73
"20/12/2011",0.73
"21/12/2011",0.7
"22/12/2011",0.7
"23/12/2011",0.7
"26/12/2011",0.7
"27/12/2011",0.7
"28/12/2011",0.73
"29/12/2011",0.73
"30/12/2011",0.73
"2/1/2012",0.73
"3/1/2012",0.74
"4/1/2012",0.74
"5/1/2012",0.73
"6/1/2012",0.69
"9/1/2012",0.71
"10/1/2012",0.74
"11/1/2012",0.75
"12/1/2012",0.74
"13/1/2012",0.74
"16/1/2012",0.72
"17/1/2012",0.77
"18/1/2012",0.77
"19/1/2012",0.77
"20/1/2012",0.78
"23/1/2012",0.78
"24/1/2012",0.78
"25/1/2012",0.78
"26/1/2012",0.78
"27/1/2012",0.79
"30/1/2012",0.78
"31/1/2012",0.77
"1/2/2012",0.85
"2/2/2012",0.85
"3/2/2012",0.84
"6/2/2012",0.84
"7/2/2012",0.87
"8/2/2012",0.9
"9/2/2012",0.87
"10/2/2012",0.87
"13/2/2012",0.91
"14/2/2012",0.88
"15/2/2012",0.89
"16/2/2012",0.85
"17/2/2012",0.89
"20/2/2012",0.89
"21/2/2012",0.88
"22/2/2012",0.91
"23/2/2012",0.9
"24/2/2012",0.9
"27/2/2012",0.87
"28/2/2012",0.87
"29/2/2012",0.87
"1/3/2012",0.87
"2/3/2012",0.87
"5/3/2012",0.85
"6/3/2012",0.83
"7/3/2012",0.8
"8/3/2012",0.82
"9/3/2012",0.85
"12/3/2012",0.85
"13/3/2012",0.84
"14/3/2012",0.82
"15/3/2012",0.83
"16/3/2012",0.82
"19/3/2012",0.82
"20/3/2012",0.81
"21/3/2012",0.8
"22/3/2012",0.8
"23/3/2012",0.8
"26/3/2012",0.79
"27/3/2012",0.81
"28/3/2012",0.79
"29/3/2012",0.75
"30/3/2012",0.75
"2/4/2012",0.73
"3/4/2012",0.73
"4/4/2012",0.73
"5/4/2012",0.73
"6/4/2012",0.73
"9/4/2012",0.73
"10/4/2012",0.78
"11/4/2012",0.76
"12/4/2012",0.76
"13/4/2012",0.76
"16/4/2012",0.76
"17/4/2012",0.74
"18/4/2012",0.73
"19/4/2012",0.73
"20/4/2012",0.73
"23/4/2012",0.72
"24/4/2012",0.73
"25/4/2012",0.74
"26/4/2012",0.74
"27/4/2012",0.76
"30/4/2012",0.76
"1/5/2012",0.76
"2/5/2012",0.75
"3/5/2012",0.73
"4/5/2012",0.73
"7/5/2012",0.73
"8/5/2012",0.73
"9/5/2012",0.73
"10/5/2012",0.71
"11/5/2012",0.7
"14/5/2012",0.7
"15/5/2012",0.71
"16/5/2012",0.66
"17/5/2012",0.67
"18/5/2012",0.66
"21/5/2012",0.69
"22/5/2012",0.66
"23/5/2012",0.68
"24/5/2012",0.67
"25/5/2012",0.69
"28/5/2012",0.69
"29/5/2012",0.71
"30/5/2012",0.71
"31/5/2012",0.69
"1/6/2012",0.68
"4/6/2012",0.66
"5/6/2012",0.66
"6/6/2012",0.68
"7/6/2012",0.68
"8/6/2012",0.68
"11/6/2012",0.68
"12/6/2012",0.68
"13/6/2012",0.68
"14/6/2012",0.67
"15/6/2012",0.68
"18/6/2012",0.66
"19/6/2012",0.77
"20/6/2012",0.7
"21/6/2012",0.69
"22/6/2012",0.69
"25/6/2012",0.67
"26/6/2012",0.67
"27/6/2012",0.67
"28/6/2012",0.68
"29/6/2012",0.68
"2/7/2012",0.68
"3/7/2012",0.68
"4/7/2012",0.7
"5/7/2012",0.7
"6/7/2012",0.7
"9/7/2012",0.7
"10/7/2012",0.7
"11/7/2012",0.7
"12/7/2012",0.7
"13/7/2012",0.7
"16/7/2012",0.8
"17/7/2012",0.77
"18/7/2012",0.78
"19/7/2012",0.77
"20/7/2012",0.78
"23/7/2012",0.78
"24/7/2012",0.78
"25/7/2012",0.77
"26/7/2012",0.77
"27/7/2012",0.77
"30/7/2012",0.75
"31/7/2012",0.8
"1/8/2012",0.77
"2/8/2012",0.77
"3/8/2012",0.78
"6/8/2012",0.78
"7/8/2012",0.8
"8/8/2012",0.8
"9/8/2012",0.8
"10/8/2012",0.77
"13/8/2012",0.77
"14/8/2012",0.8
"15/8/2012",0.79
"16/8/2012",0.74
"17/8/2012",0.76
"20/8/2012",0.77
"21/8/2012",0.77
"22/8/2012",0.78
"23/8/2012",0.78
"24/8/2012",0.78
"27/8/2012",0.75
"28/8/2012",0.76
"29/8/2012",0.72
"30/8/2012",0.71
"31/8/2012",0.73
"3/9/2012",0.72
"4/9/2012",0.71
"5/9/2012",0.69
"6/9/2012",0.71
"7/9/2012",0.72
"10/9/2012",0.72
"11/9/2012",0.72
"12/9/2012",0.73
"13/9/2012",0.74
"14/9/2012",0.75
"17/9/2012",0.73
"18/9/2012",0.76
"19/9/2012",0.78
"20/9/2012",0.76
"21/9/2012",0.77
"24/9/2012",0.77
"25/9/2012",0.77
"26/9/2012",0.73
"27/9/2012",0.75
"28/9/2012",0.75
"1/10/2012",0.75
"2/10/2012",0.75
"3/10/2012",0.75
"4/10/2012",0.75
"5/10/2012",0.75
"8/10/2012",0.75
"9/10/2012",0.76
"10/10/2012",0.76
"11/10/2012",0.76
"12/10/2012",0.78
"15/10/2012",0.8
"16/10/2012",0.79
"17/10/2012",0.78
"18/10/2012",0.81
"19/10/2012",0.83
"22/10/2012",0.87
"23/10/2012",0.87
"24/10/2012",1.05
"25/10/2012",0.96
"26/10/2012",0.97
"29/10/2012",0.95
"30/10/2012",0.92
"31/10/2012",0.94
"1/11/2012",0.97
"2/11/2012",0.97
"5/11/2012",0.96
"6/11/2012",0.97
"7/11/2012",0.96
"8/11/2012",0.93
"9/11/2012",0.93
"12/11/2012",0.94
"13/11/2012",0.9
"14/11/2012",0.9
"15/11/2012",0.9
"16/11/2012",0.9
"19/11/2012",0.9
"20/11/2012",0.88
"21/11/2012",0.89
"22/11/2012",0.89
"23/11/2012",0.91
"26/11/2012",0.91
"27/11/2012",0.89
"28/11/2012",0.87
"29/11/2012",0.87
"30/11/2012",0.87
"3/12/2012",0.87
"4/12/2012",0.87
