"StockPrice.Date","StockPrice...j."
"3/1/2011",1.81
"4/1/2011",1.83
"5/1/2011",1.83
"6/1/2011",1.82
"7/1/2011",1.82
"10/1/2011",1.84
"11/1/2011",1.82
"12/1/2011",1.83
"13/1/2011",1.88
"14/1/2011",1.88
"17/1/2011",1.87
"18/1/2011",1.87
"19/1/2011",1.87
"20/1/2011",1.84
"21/1/2011",1.84
"24/1/2011",1.82
"25/1/2011",1.81
"26/1/2011",1.79
"27/1/2011",1.81
"28/1/2011",1.81
"31/1/2011",1.82
"1/2/2011",1.83
"2/2/2011",1.83
"3/2/2011",1.83
"4/2/2011",1.83
"7/2/2011",1.85
"8/2/2011",1.86
"9/2/2011",1.83
"10/2/2011",1.78
"11/2/2011",1.76
"14/2/2011",1.78
"15/2/2011",1.82
"16/2/2011",1.88
"17/2/2011",1.9
"18/2/2011",1.9
"21/2/2011",1.88
"22/2/2011",1.84
"23/2/2011",1.82
"24/2/2011",1.8
"25/2/2011",1.77
"28/2/2011",1.75
"1/3/2011",1.77
"2/3/2011",1.73
"3/3/2011",1.77
"4/3/2011",1.8
"7/3/2011",1.8
"8/3/2011",1.8
"9/3/2011",1.78
"10/3/2011",1.77
"11/3/2011",1.72
"14/3/2011",1.74
"15/3/2011",1.69
"16/3/2011",1.72
"17/3/2011",1.68
"18/3/2011",1.73
"21/3/2011",1.77
"22/3/2011",1.75
"23/3/2011",1.76
"24/3/2011",1.76
"25/3/2011",1.75
"28/3/2011",1.87
"29/3/2011",1.88
"30/3/2011",1.89
"31/3/2011",1.89
"1/4/2011",1.88
"4/4/2011",1.89
"5/4/2011",1.89
"6/4/2011",1.85
"7/4/2011",1.86
"8/4/2011",1.88
"11/4/2011",1.87
"12/4/2011",1.86
"13/4/2011",1.85
"14/4/2011",1.89
"15/4/2011",1.9
"18/4/2011",1.86
"19/4/2011",1.85
"20/4/2011",1.87
"21/4/2011",1.89
"22/4/2011",1.89
"25/4/2011",1.89
"26/4/2011",1.88
"27/4/2011",1.87
"28/4/2011",1.86
"29/4/2011",1.85
"2/5/2011",1.85
"3/5/2011",1.86
"4/5/2011",1.81
"5/5/2011",1.8
"6/5/2011",1.81
"9/5/2011",1.82
"10/5/2011",1.82
"11/5/2011",1.84
"12/5/2011",1.8
"13/5/2011",1.8
"16/5/2011",1.8
"17/5/2011",1.78
"18/5/2011",1.8
"19/5/2011",1.79
"20/5/2011",1.73
"23/5/2011",1.7
"24/5/2011",1.69
"25/5/2011",1.69
"26/5/2011",1.69
"27/5/2011",1.69
"30/5/2011",1.69
"31/5/2011",1.78
"1/6/2011",1.75
"2/6/2011",1.75
"3/6/2011",1.72
"6/6/2011",1.72
"7/6/2011",1.72
"8/6/2011",1.7
"9/6/2011",1.68
"10/6/2011",1.68
"13/6/2011",1.66
"14/6/2011",1.68
"15/6/2011",1.65
"16/6/2011",1.55
"17/6/2011",1.53
"20/6/2011",1.38
"21/6/2011",1.4
"22/6/2011",1.42
"23/6/2011",1.38
"24/6/2011",1.44
"27/6/2011",1.49
"28/6/2011",1.57
"29/6/2011",1.55
"30/6/2011",1.57
"1/7/2011",1.57
"4/7/2011",1.54
"5/7/2011",1.5
"6/7/2011",1.48
"7/7/2011",1.45
"8/7/2011",1.54
"11/7/2011",1.51
"12/7/2011",1.46
"13/7/2011",1.46
"14/7/2011",1.43
"15/7/2011",1.42
"18/7/2011",1.4
"19/7/2011",1.38
"20/7/2011",1.43
"21/7/2011",1.41
"22/7/2011",1.44
"25/7/2011",1.38
"26/7/2011",1.4
"27/7/2011",1.43
"28/7/2011",1.42
"29/7/2011",1.41
"1/8/2011",1.4
"2/8/2011",1.39
"3/8/2011",1.38
"4/8/2011",1.26
"5/8/2011",1.18
"8/8/2011",1.16
"9/8/2011",1.1
"10/8/2011",1.06
"11/8/2011",1.08
"12/8/2011",1.05
"15/8/2011",1.08
"16/8/2011",1.1
"17/8/2011",1.08
"18/8/2011",1.08
"19/8/2011",1.02
"22/8/2011",1
"23/8/2011",1.03
"24/8/2011",1.07
"25/8/2011",1.21
"26/8/2011",1.18
"29/8/2011",1.22
"30/8/2011",1.23
"31/8/2011",1.24
"1/9/2011",1.21
"2/9/2011",1.17
"5/9/2011",1.12
"6/9/2011",1.14
"7/9/2011",1.18
"8/9/2011",1.18
"9/9/2011",1.25
"12/9/2011",1.23
"13/9/2011",1.23
"14/9/2011",1.21
"15/9/2011",1.22
"16/9/2011",1.22
"19/9/2011",1.18
"20/9/2011",1.19
"21/9/2011",1.2
"22/9/2011",1.14
"23/9/2011",1.07
"26/9/2011",1.01
"27/9/2011",1.04
"28/9/2011",1.03
"29/9/2011",1.03
"30/9/2011",1.03
"3/10/2011",0.97
"4/10/2011",0.92
"5/10/2011",0.92
"6/10/2011",0.93
"7/10/2011",0.98
"10/10/2011",0.94
"11/10/2011",0.99
"12/10/2011",1.02
"13/10/2011",1.06
"14/10/2011",1.08
"17/10/2011",1.1
"18/10/2011",1.08
"19/10/2011",1.09
"20/10/2011",1.03
"21/10/2011",1.04
"24/10/2011",1.08
"25/10/2011",1.07
"26/10/2011",1.07
"27/10/2011",1.12
"28/10/2011",1.11
"31/10/2011",1.12
"1/11/2011",1.08
"2/11/2011",1.08
"3/11/2011",1.07
"4/11/2011",1.1
"7/11/2011",1.14
"8/11/2011",1.11
"9/11/2011",1.11
"10/11/2011",1.04
"11/11/2011",1.04
"14/11/2011",1.06
"15/11/2011",1.04
"16/11/2011",1.03
"17/11/2011",1.02
"18/11/2011",1.12
"21/11/2011",1.14
"22/11/2011",1.15
"23/11/2011",1.1
"24/11/2011",1.09
"25/11/2011",1.07
"28/11/2011",1.09
"29/11/2011",1.11
"30/11/2011",1.04
"1/12/2011",1.13
"2/12/2011",1.2
"5/12/2011",1.21
"6/12/2011",1.15
"7/12/2011",1.19
"8/12/2011",1.26
"9/12/2011",1.24
"12/12/2011",1.18
"13/12/2011",1.17
"14/12/2011",1.16
"15/12/2011",1.13
"16/12/2011",1.15
"19/12/2011",1.12
"20/12/2011",1.11
"21/12/2011",1.12
"22/12/2011",1.11
"23/12/2011",1.14
"26/12/2011",1.14
"27/12/2011",1.14
"28/12/2011",1.11
"29/12/2011",1.08
"30/12/2011",1.09
"2/1/2012",1.09
"3/1/2012",1.11
"4/1/2012",1.09
"5/1/2012",1.09
"6/1/2012",1.02
"9/1/2012",1.05
"10/1/2012",1.06
"11/1/2012",1.05
"12/1/2012",1.07
"13/1/2012",1.08
"16/1/2012",1.03
"17/1/2012",1.07
"18/1/2012",1.06
"19/1/2012",1.07
"20/1/2012",1.08
"23/1/2012",1.08
"24/1/2012",1.08
"25/1/2012",1.08
"26/1/2012",1.11
"27/1/2012",1.09
"30/1/2012",1.11
"31/1/2012",1.2
"1/2/2012",1.19
"2/2/2012",1.28
"3/2/2012",1.32
"6/2/2012",1.29
"7/2/2012",1.31
"8/2/2012",1.4
"9/2/2012",1.42
"10/2/2012",1.46
"13/2/2012",1.47
"14/2/2012",1.43
"15/2/2012",1.43
"16/2/2012",1.43
"17/2/2012",1.42
"20/2/2012",1.44
"21/2/2012",1.44
"22/2/2012",1.48
"23/2/2012",1.47
"24/2/2012",1.54
"27/2/2012",1.51
"28/2/2012",1.52
"29/2/2012",1.57
"1/3/2012",1.62
"2/3/2012",1.69
"5/3/2012",1.68
"6/3/2012",1.54
"7/3/2012",1.55
"8/3/2012",1.63
"9/3/2012",1.6
"12/3/2012",1.61
"13/3/2012",1.61
"14/3/2012",1.58
"15/3/2012",1.56
"16/3/2012",1.53
"19/3/2012",1.48
"20/3/2012",1.43
"21/3/2012",1.43
"22/3/2012",1.46
"23/3/2012",1.34
"26/3/2012",1.38
"27/3/2012",1.21
"28/3/2012",1.13
"29/3/2012",1.07
"30/3/2012",1.02
"2/4/2012",1.02
"3/4/2012",1.02
"4/4/2012",1.02
"5/4/2012",1.04
"6/4/2012",1.04
"9/4/2012",1.04
"10/4/2012",1.06
"11/4/2012",1.04
"12/4/2012",1.04
"13/4/2012",1.04
"16/4/2012",1.03
"17/4/2012",1.03
"18/4/2012",1.04
