Date,8256 HK Equity,,8106 HK Equity,,1155 HK Equity,,524 HK Equity,,1202 HK Equity,,1085 HK Equity,,471 HK Equity,,138 HK Equity,,8005 HK Equity,,8227 HK Equity,,8167 HK Equity,,2342 HK Equity,,877 HK Equity,,989 HK Equity,,1883 HK Equity,,215 HK Equity,,552 HK Equity,,8 HK Equity,,763 HK Equity,,762 HK Equity,,728 HK Equity,,941 HK Equity
2/2/2011,0.176,,0.34,,1.83,,0.71,,1.5,,2.18,,5.071,,0.974,,0.57,,0.29,,0.472,,5.025,,4.85,,0.727,,2.241,,2.73,,4.956,,3.369,,21.354,,12.96,,4.52,,77.45
3/2/2011,0.176,,0.34,,1.83,,0.71,,1.5,,2.18,,5.071,,0.974,,0.57,,0.29,,0.472,,5.025,,4.85,,0.727,,2.241,,2.73,,4.956,,3.369,,21.354,,12.96,,4.52,,77.45
4/2/2011,0.176,,0.34,,1.83,,0.71,,1.5,,2.18,,5.071,,0.974,,0.57,,0.29,,0.472,,5.025,,4.85,,0.727,,2.241,,2.73,,4.956,,3.369,,21.354,,12.96,,4.52,,77.45
7/2/2011,0.165,,0.33,,1.85,,0.7,,1.48,,2.21,,5.003,,0.938,,0.58,,0.29,,0.481,,4.924,,5.1,,0.688,,2.196,,2.76,,4.79,,3.332,,21.111,,12.68,,4.41,,76.3
8/2/2011,0.155,,0.34,,1.86,,0.7,,1.5,,2.2,,5.003,,0.965,,0.55,,0.29,,0.472,,4.991,,5.07,,0.693,,2.232,,2.74,,4.898,,3.332,,21.111,,13.28,,4.54,,76.2
9/2/2011,0.166,,0.325,,1.83,,0.67,,1.48,,2.17,,4.936,,0.965,,0.55,,0.29,,0.459,,4.913,,4.87,,0.717,,2.223,,2.76,,4.976,,3.277,,21.042,,13.3,,4.45,,74.85
10/2/2011,0.155,,0.315,,1.78,,0.69,,1.43,,2.14,,5.003,,0.947,,0.58,,0.29,,0.459,,4.733,,4.82,,0.712,,2.205,,2.95,,4.917,,3.258,,21.042,,13.22,,4.38,,73.5
11/2/2011,0.163,,0.325,,1.76,,0.67,,1.45,,2.16,,4.733,,0.947,,0.55,,0.29,,0.455,,4.547,,4.89,,0.737,,2.359,,2.76,,4.829,,3.406,,21.007,,13.48,,4.44,,73.05
14/2/2011,0.172,,0.31,,1.78,,0.65,,1.46,,2.14,,4.733,,0.947,,0.54,,0.28,,0.455,,4.66,,5,,0.762,,2.377,,2.77,,4.946,,3.47,,21.319,,13.5,,4.46,,74.05
15/2/2011,0.162,,0.35,,1.82,,0.61,,1.45,,2.14,,4.936,,0.947,,0.54,,0.275,,0.45,,4.677,,5.23,,0.752,,2.441,,2.83,,4.956,,3.267,,22.014,,13.08,,4.34,,73.45
16/2/2011,0.165,,0.35,,1.88,,0.61,,1.46,,2.12,,5.003,,0.956,,0.55,,0.275,,0.442,,4.705,,5.53,,0.757,,2.368,,2.93,,4.937,,3.258,,22.674,,12.96,,4.37,,74.1
17/2/2011,0.175,,0.335,,1.9,,0.62,,1.74,,2.1,,4.936,,0.983,,0.56,,0.255,,0.446,,4.705,,5.71,,0.757,,2.441,,2.88,,5.2,,3.313,,23.611,,13.12,,4.5,,73.45
18/2/2011,0.15,,0.345,,1.9,,0.61,,1.6,,2.06,,4.868,,0.956,,0.57,,0.28,,0.446,,4.778,,5.88,,0.752,,2.522,,2.89,,5.2,,3.267,,23.646,,13.46,,4.59,,73.9
21/2/2011,0.16,,0.33,,1.88,,0.59,,1.59,,2.15,,4.868,,0.956,,0.57,,0.28,,0.437,,4.851,,5.89,,0.752,,2.45,,2.85,,5.298,,3.286,,24.132,,13.42,,4.51,,73.8
22/2/2011,0.159,,0.32,,1.84,,0.56,,1.55,,2.17,,4.53,,0.929,,0.53,,0.255,,0.428,,4.604,,5.41,,0.737,,2.286,,2.73,,5.063,,3.203,,23.299,,12.78,,4.4,,72.5
23/2/2011,0.158,,0.31,,1.82,,0.56,,1.55,,2.16,,4.395,,0.929,,0.54,,0.26,,0.437,,4.587,,5.54,,0.737,,2.35,,2.76,,4.966,,3.193,,23.507,,12.56,,4.38,,72.75
24/2/2011,0.155,,0.3,,1.8,,0.54,,1.51,,2.1,,4.395,,0.902,,0.5,,0.25,,0.407,,4.429,,5.22,,0.737,,2.332,,2.65,,4.761,,3.166,,23.576,,12.4,,4.35,,71.9
25/2/2011,0.151,,0.3,,1.77,,0.52,,1.53,,2.1,,4.327,,0.956,,0.51,,0.25,,0.411,,4.502,,5.57,,0.737,,2.295,,2.72,,4.829,,3.092,,23.542,,12.8,,4.48,,72.9
28/2/2011,0.157,,0.3,,1.75,,0.51,,1.52,,2.15,,4.26,,0.902,,0.51,,0.25,,0.42,,4.592,,5.82,,0.727,,2.25,,2.7,,4.81,,3.101,,24.931,,13,,4.58,,73.05
1/3/2011,0.155,,0.3,,1.77,,0.56,,1.51,,2.1,,4.26,,0.911,,0.52,,0.25,,0.459,,4.693,,5.64,,0.712,,2.286,,2.84,,5.102,,3.175,,24.479,,13.4,,4.62,,74.75
2/3/2011,0.154,,0.3,,1.73,,0.56,,1.52,,2.14,,4.26,,0.911,,0.52,,0.25,,0.52,,4.564,,5.36,,0.707,,2.25,,2.79,,5.054,,3.166,,24.063,,13.08,,4.6,,73.75
3/3/2011,0.154,,0.3,,1.77,,0.56,,1.5,,2.14,,4.26,,0.902,,0.53,,0.255,,0.538,,4.575,,5.63,,0.707,,2.259,,2.8,,5.112,,3.212,,24.826,,12.9,,4.65,,73.7
4/3/2011,0.14,,0.3,,1.8,,0.59,,1.56,,2.1,,4.868,,0.92,,0.55,,0.29,,0.551,,4.609,,5.71,,0.693,,2.305,,2.89,,5.112,,3.212,,24.479,,13.24,,4.67,,74.6
7/3/2011,0.146,,0.3,,1.8,,0.54,,1.55,,2.1,,5.274,,0.929,,0.53,,0.29,,0.546,,4.767,,5.94,,0.712,,2.277,,2.82,,5.093,,3.184,,24.236,,13.1,,4.65,,74.4
