"StockPrice.Date","StockPrice...j."
"3/1/2011",4.12
"4/1/2011",4.11
"5/1/2011",4.08
"6/1/2011",4.17
"7/1/2011",4.12
"10/1/2011",4.14
"11/1/2011",4.31
"12/1/2011",4.52
"13/1/2011",4.39
"14/1/2011",4.31
"17/1/2011",4.29
"18/1/2011",4.49
"19/1/2011",4.69
"20/1/2011",4.54
"21/1/2011",4.56
"24/1/2011",4.52
"25/1/2011",4.47
"26/1/2011",4.5
"27/1/2011",4.7
"28/1/2011",4.7
"31/1/2011",4.64
"1/2/2011",4.54
"2/2/2011",4.52
"3/2/2011",4.52
"4/2/2011",4.52
"7/2/2011",4.41
"8/2/2011",4.54
"9/2/2011",4.45
"10/2/2011",4.38
"11/2/2011",4.44
"14/2/2011",4.46
"15/2/2011",4.34
"16/2/2011",4.37
"17/2/2011",4.5
"18/2/2011",4.59
"21/2/2011",4.51
"22/2/2011",4.4
"23/2/2011",4.38
"24/2/2011",4.35
"25/2/2011",4.48
"28/2/2011",4.58
"1/3/2011",4.62
"2/3/2011",4.6
"3/3/2011",4.65
"4/3/2011",4.67
"7/3/2011",4.65
"8/3/2011",4.7
"9/3/2011",4.6
"10/3/2011",4.56
"11/3/2011",4.54
"14/3/2011",4.61
"15/3/2011",4.49
"16/3/2011",4.51
"17/3/2011",4.43
"18/3/2011",4.37
"21/3/2011",4.39
"22/3/2011",4.49
"23/3/2011",4.61
"24/3/2011",4.63
"25/3/2011",4.63
"28/3/2011",4.59
"29/3/2011",4.64
"30/3/2011",4.7
"31/3/2011",4.75
"1/4/2011",4.9
"4/4/2011",4.97
"5/4/2011",4.97
"6/4/2011",4.99
"7/4/2011",4.99
"8/4/2011",5.05
"11/4/2011",5.19
"12/4/2011",4.92
"13/4/2011",4.95
"14/4/2011",4.86
"15/4/2011",4.8
"18/4/2011",4.64
"19/4/2011",4.65
"20/4/2011",4.73
"21/4/2011",4.78
"22/4/2011",4.78
"25/4/2011",4.78
"26/4/2011",4.71
"27/4/2011",4.69
"28/4/2011",4.64
"29/4/2011",4.48
"2/5/2011",4.48
"3/5/2011",4.46
"4/5/2011",4.44
"5/5/2011",4.48
"6/5/2011",4.5
"9/5/2011",4.55
"10/5/2011",4.55
"11/5/2011",4.53
"12/5/2011",4.45
"13/5/2011",4.47
"16/5/2011",4.33
"17/5/2011",4.39
"18/5/2011",4.5
"19/5/2011",4.52
"20/5/2011",4.61
"23/5/2011",4.46
"24/5/2011",4.45
"25/5/2011",4.47
"26/5/2011",4.5
"27/5/2011",4.56
"30/5/2011",4.59
"31/5/2011",4.66
"1/6/2011",4.66
"2/6/2011",4.67
"3/6/2011",4.68
"6/6/2011",4.68
"7/6/2011",4.67
"8/6/2011",4.69
"9/6/2011",4.66
"10/6/2011",4.62
"13/6/2011",4.65
"14/6/2011",4.65
"15/6/2011",4.65
"16/6/2011",4.58
"17/6/2011",4.58
"20/6/2011",4.62
"21/6/2011",4.79
"22/6/2011",4.81
"23/6/2011",4.79
"24/6/2011",4.92
"27/6/2011",4.99
"28/6/2011",4.95
"29/6/2011",5.05
"30/6/2011",5.04
"1/7/2011",5.04
"4/7/2011",5.04
"5/7/2011",4.95
"6/7/2011",4.94
"7/7/2011",4.92
"8/7/2011",4.95
"11/7/2011",4.89
"12/7/2011",4.69
"13/7/2011",4.93
"14/7/2011",5.03
"15/7/2011",5.16
"18/7/2011",5.07
"19/7/2011",5.2
"20/7/2011",5.21
"21/7/2011",5.12
"22/7/2011",5.15
